Classification_Size,Classification_Focus,Research_Intensity,Status,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_Per_Faculty_Score,International_Faculty_Score,International_Student_Score,Overall_Score
M,CO,VH,A,36.7,15.5,73.0,11.9,14.8,86.0,38.3
XL,FC,VH,A,32.6,36.0,7.7,66.0,85.1,52.1,38.3
L,CO,HI,A,28.0,60.2,99.9,1.1,1.3,12.8,38.2
M,CO,VH,A,25.8,31.4,13.9,64.4,97.3,79.7,38.1
XL,FC,HI,A,39.9,48.9,7.0,38.9,96.1,59.6,37.9
M,CO,VH,A,38.8,43.8,15.7,73.2,2.1,1.5,37.9
L,SP,VH,A,65.8,47.2,7.9,7.6,24.4,48.3,37.9
S,SP,VH,A,33.7,28.4,43.1,13.8,100.0,100.0,37.8
XL,FC,VH,A,58.0,38.8,11.3,39.6,2.8,6.8,37.8
M,CO,VH,A,37.8,36.3,20.3,47.7,74.8,31.6,37.8
L,FC,HI,B,29.8,28.7,83.6,16.4,10.2,45.4,37.7
M,FC,HI,A,22.0,18.5,35.6,52.6,100.0,86.3,37.7
L,CO,VH,A,30.6,26.0,10.6,94.4,24.2,8.7,37.6
L,FC,VH,A,45.6,49.3,15.4,52.8,5.7,9.0,37.6
XL,FC,HI,A,57.4,20.9,12.1,27.9,35.7,50.9,37.5
XL,FC,VH,A,53.5,41.6,23.5,19.6,37.6,26.1,37.4
L,FC,VH,A,53.7,9.4,16.2,38.1,21.3,56.5,37.3
XL,FC,VH,A,47.4,61.0,13.9,37.5,6.3,32.1,37.3
XL,FO,VH,A,36.0,71.1,3.2,63.8,2.2,38.1,37
M,FO,VH,A,20.0,15.3,25.9,61.7,97.3,99.1,36.9
M,FO,VH,A,31.4,49.5,12.9,81.8,6.2,1.0,36.9
XL,FC,VH,A,42.0,50.9,43.5,22.2,24.6,11.4,36.9
XL,FC,VH,A,67.1,29.5,21.6,10.2,6.3,3.3,36.7
M,CO,VH,A,20.1,46.8,32.9,37.5,95.4,98.9,36.6
M,CO,VH,A,24.7,17.1,31.2,46.2,97.3,90.1,36.5
XL,FC,VH,A,48.5,40.6,37.1,11.1,16.8,45.2,36.3
M,FC,VH,A,28.5,37.9,79.2,17.9,16.0,15.9,36.3
L,CO,VH,A,37.2,35.6,22.7,19.7,96.8,86.6,36.2
XL,FC,VH,A,36.1,27.5,24.0,43.8,83.2,24.2,36.2
L,FC,VH,A,27.1,11.8,10.3,73.3,82.9,63.2,36.1
S,CO,VH,A,11.9,13.0,68.5,33.3,95.4,93.2,35.9
XL,FC,VH,A,42.4,49.4,28.6,31.0,30.6,9.9,35.9
L,FC,VH,A,24.8,33.9,14.9,78.6,11.8,63.8,35.9
L,FC,VH,A,31.4,15.3,83.8,17.5,12.0,15.0,35.8
M,CO,VH,A,22.9,25.7,94.0,2.7,22.2,69.4,35.7
L,FC,HI,A,23.8,35.4,12.2,77.9,76.5,14.8,35.7
XL,FC,HI,A,33.6,35.8,13.6,40.2,98.2,57.5,35.6
L,FO,VH,A,26.3,21.3,50.3,60.0,8.5,7.4,35.6
XL,FC,VH,A,52.9,36.4,7.1,41.1,12.5,9.6,35.6
M,FC,VH,B,3.2,6.4,96.3,65.9,26.2,24.2,35.6
S,FC,VH,A,14.8,13.6,99.8,37.4,5.7,7.9,35.5
S,CO,VH,A,17.1,21.8,85.0,31.6,27.5,32.0,35.4
L,CO,HI,A,52.9,56.1,31.0,2.9,30.1,2.6,35.3
S,CO,MD,B,28.8,51.2,86.4,1.8,5.2,13.4,35.3
XL,FC,VH,B,43.8,62.4,33.4,12.0,26.7,21.3,35.3
L,FO,HI,A,28.3,32.6,92.3,1.6,7.4,25.5,35.1
L,FC,HI,A,46.4,24.6,58.0,7.0,15.2,5.6,35.1
L,FO,HI,A,23.9,35.7,98.2,1.3,31.7,5.7,35
M,CO,LO,B,17.2,47.5,91.0,1.1,8.4,86.5,34.9
L,FC,HI,A,25.0,20.0,79.9,23.4,29.0,13.2,34.8
L,CO,HI,B,29.9,38.2,22.1,43.4,94.8,19.9,34.7
S,FO,VH,A,13.7,5.5,37.6,100.0,11.5,9.9,34.7
L,FC,VH,A,24.3,14.1,87.6,20.1,7.4,30.3,34.6
L,FC,VH,A,22.7,6.2,56.5,46.2,62.2,22.9,34.6
L,CO,HI,A,22.2,48.0,15.4,37.5,98.2,100.0,34.2
L,FC,VH,A,32.6,18.2,30.1,58.6,19.5,8.0,34
XL,FC,VH,A,29.1,27.6,48.5,38.5,28.9,12.7,34
M,CO,VH,A,17.6,28.0,21.1,49.8,97.3,99.3,33.9
L,CO,VH,B,22.1,35.1,25.2,40.1,71.8,96.5,33.9
L,CO,VH,A,23.6,17.4,6.9,74.4,82.5,46.1,33.9
M,FC,HI,A,20.2,20.7,59.9,7.9,100.0,99.9,33.8
S,CO,HI,A,15.2,1.9,92.5,3.8,100.0,64.7,33.8
L,FC,VH,A,33.8,36.8,61.8,15.2,9.0,9.7,33.6
